# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 5.5, Kd: 0.15
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
0.0318, 1.500000, 1.537049, -0.037049, -0.203768
0.0638, 1.500000, 1.537049, -0.037049, -0.203768
0.0958, 1.500000, 1.537049, -0.037049, -0.203768
0.1278, 1.500000, 1.537049, -0.037049, -0.203768
0.1597, 1.500000, 1.538583, -0.038583, -0.235215
0.1918, 1.500000, 1.537049, -0.037049, -0.180758
0.2238, 1.500000, 1.537049, -0.037049, -0.203768
0.2558, 1.500000, 1.538583, -0.038583, -0.235215
0.2878, 1.500000, 1.537049, -0.037049, -0.180758
0.3198, 1.500000, 1.538583, -0.038583, -0.235215
0.3518, 1.500000, 1.538583, -0.038583, -0.212205
0.3838, 1.500000, 1.538583, -0.038583, -0.212205
0.4158, 1.500000, 1.537049, -0.037049, -0.180758
0.4478, 1.500000, 1.538583, -0.038583, -0.235215
0.4798, 1.500000, 1.537049, -0.037049, -0.180758
0.5118, 1.500000, 1.538583, -0.038583, -0.235215
0.5438, 1.500000, 1.537049, -0.037049, -0.180758
0.5758, 1.500000, 1.538583, -0.038583, -0.235215
0.6078, 1.500000, 1.538583, -0.038583, -0.212205
0.6398, 1.500000, 1.537049, -0.037049, -0.180758
0.6718, 1.500000, 1.537049, -0.037049, -0.203768
0.7038, 1.500000, 1.537049, -0.037049, -0.203768
0.7358, 1.500000, 1.538583, -0.038583, -0.235215
0.7678, 1.500000, 1.537049, -0.037049, -0.180758
0.7998, 1.500000, 1.537049, -0.037049, -0.203768
0.8318, 1.500000, 1.537049, -0.037049, -0.203768
0.8638, 1.500000, 1.538583, -0.038583, -0.235215
0.8958, 1.500000, 1.538583, -0.038583, -0.212205
0.9278, 1.500000, 1.538583, -0.038583, -0.212205
0.9598, 1.500000, 1.537049, -0.037049, -0.180758
0.9918, 1.500000, 1.537049, -0.037049, -0.203768
1.0238, 1.500000, 1.538583, -0.038583, -0.235215
1.0558, 1.500000, 1.537049, -0.037049, -0.180758
1.0878, 1.500000, 1.538583, -0.038583, -0.235215
1.1197, 1.500000, 1.538583, -0.038583, -0.212205
1.1518, 1.500000, 1.538583, -0.038583, -0.212205
1.1838, 1.500000, 1.538583, -0.038583, -0.212205
1.2158, 1.500000, 1.538583, -0.038583, -0.212205
1.2478, 1.500000, 1.537049, -0.037049, -0.180758
1.2798, 1.500000, 1.537049, -0.037049, -0.203768
1.3118, 1.500000, 1.537049, -0.037049, -0.203768
1.3438, 1.500000, 1.538583, -0.038583, -0.235215
1.3758, 1.500000, 1.537049, -0.037049, -0.180758
1.4077, 1.500000, 1.537049, -0.037049, -0.203768
1.4398, 1.500000, 1.538583, -0.038583, -0.235215
1.4717, 1.500000, 1.538583, -0.038583, -0.212205
