# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 5.5, Kd: 0.15
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
0.0317, 1.500000, 1.564660, -0.064660, -0.355632
0.0637, 1.500000, 1.564660, -0.064660, -0.355632
0.0957, 1.500000, 1.564660, -0.064660, -0.355632
0.1277, 1.500000, 1.564660, -0.064660, -0.355632
0.1597, 1.500000, 1.564660, -0.064660, -0.355632
0.1917, 1.500000, 1.564660, -0.064660, -0.355632
0.2237, 1.500000, 1.564660, -0.064660, -0.355632
0.2557, 1.500000, 1.564660, -0.064660, -0.355632
0.2877, 1.500000, 1.564660, -0.064660, -0.355632
0.3198, 1.500000, 1.564660, -0.064660, -0.355632
0.3518, 1.500000, 1.564660, -0.064660, -0.355632
0.3838, 1.500000, 1.564660, -0.064660, -0.355632
0.4157, 1.500000, 1.564660, -0.064660, -0.355632
0.4478, 1.500000, 1.564660, -0.064660, -0.355632
0.4798, 1.500000, 1.564660, -0.064660, -0.355632
0.5118, 1.500000, 1.564660, -0.064660, -0.355632
0.5438, 1.500000, 1.564660, -0.064660, -0.355632
0.5758, 1.500000, 1.564660, -0.064660, -0.355632
0.6078, 1.500000, 1.564660, -0.064660, -0.355632
0.6399, 1.500000, 1.564660, -0.064660, -0.355632
0.6718, 1.500000, 1.564660, -0.064660, -0.355632
0.7038, 1.500000, 1.564660, -0.064660, -0.355632
0.7359, 1.500000, 1.564660, -0.064660, -0.355632
0.7678, 1.500000, 1.564660, -0.064660, -0.355632
0.7998, 1.500000, 1.564660, -0.064660, -0.355632
0.8318, 1.500000, 1.564660, -0.064660, -0.355632
0.8638, 1.500000, 1.564660, -0.064660, -0.355632
0.8957, 1.500000, 1.564660, -0.064660, -0.355632
0.9277, 1.500000, 1.564660, -0.064660, -0.355632
0.9597, 1.500000, 1.564660, -0.064660, -0.355632
0.9917, 1.500000, 1.564660, -0.064660, -0.355632
1.0237, 1.500000, 1.564660, -0.064660, -0.355632
1.0557, 1.500000, 1.564660, -0.064660, -0.355632
1.0877, 1.500000, 1.564660, -0.064660, -0.355632
1.1198, 1.500000, 1.564660, -0.064660, -0.355632
1.1518, 1.500000, 1.564660, -0.064660, -0.355632
1.1838, 1.500000, 1.564660, -0.064660, -0.355632
1.2158, 1.500000, 1.564660, -0.064660, -0.355632
1.2478, 1.500000, 1.564660, -0.064660, -0.355632
1.2797, 1.500000, 1.564660, -0.064660, -0.355632
