# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 5.5, Kd: 0.15
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
0.0318, -1.500000, -1.524777, 0.024777, 0.136273
0.0638, -1.500000, -1.524777, 0.024777, 0.136273
0.0957, -1.500000, -1.524777, 0.024777, 0.136273
0.1278, -1.500000, -1.524777, 0.024777, 0.136273
0.1597, -1.500000, -1.524777, 0.024777, 0.136273
0.1917, -1.500000, -1.524777, 0.024777, 0.136273
0.2237, -1.500000, -1.524777, 0.024777, 0.136273
0.2557, -1.500000, -1.524777, 0.024777, 0.136273
0.2877, -1.500000, -1.524777, 0.024777, 0.136273
0.3197, -1.500000, -1.524777, 0.024777, 0.136273
0.3517, -1.500000, -1.524777, 0.024777, 0.136273
0.3837, -1.500000, -1.524777, 0.024777, 0.136273
0.4157, -1.500000, -1.524777, 0.024777, 0.136273
0.4478, -1.500000, -1.524777, 0.024777, 0.136273
0.4798, -1.500000, -1.524777, 0.024777, 0.136273
0.5118, -1.500000, -1.524777, 0.024777, 0.136273
0.5438, -1.500000, -1.524777, 0.024777, 0.136273
0.5758, -1.500000, -1.524777, 0.024777, 0.136273
0.6078, -1.500000, -1.524777, 0.024777, 0.136273
0.6398, -1.500000, -1.524777, 0.024777, 0.136273
0.6718, -1.500000, -1.524777, 0.024777, 0.136273
0.7037, -1.500000, -1.524777, 0.024777, 0.136273
0.7357, -1.500000, -1.524777, 0.024777, 0.136273
0.7677, -1.500000, -1.524777, 0.024777, 0.136273
0.7997, -1.500000, -1.524777, 0.024777, 0.136273
0.8317, -1.500000, -1.524777, 0.024777, 0.136273
0.8637, -1.500000, -1.524777, 0.024777, 0.136273
0.8958, -1.500000, -1.524777, 0.024777, 0.136273
0.9277, -1.500000, -1.524777, 0.024777, 0.136273
0.9597, -1.500000, -1.524777, 0.024777, 0.136273
0.9917, -1.500000, -1.524777, 0.024777, 0.136273
1.0237, -1.500000, -1.524777, 0.024777, 0.136273
1.0557, -1.500000, -1.524777, 0.024777, 0.136273
1.0877, -1.500000, -1.524777, 0.024777, 0.136273
1.1197, -1.500000, -1.524777, 0.024777, 0.136273
1.1517, -1.500000, -1.524777, 0.024777, 0.136273
1.1837, -1.500000, -1.524777, 0.024777, 0.136273
1.2157, -1.500000, -1.524777, 0.024777, 0.136273
1.2477, -1.500000, -1.524777, 0.024777, 0.136273
1.2797, -1.500000, -1.524777, 0.024777, 0.136273
1.3117, -1.500000, -1.524777, 0.024777, 0.136273
1.3437, -1.500000, -1.524777, 0.024777, 0.136273
1.3757, -1.500000, -1.524777, 0.024777, 0.136273
1.4077, -1.500000, -1.524777, 0.024777, 0.136273
1.4397, -1.500000, -1.524777, 0.024777, 0.136273
1.4717, -1.500000, -1.524777, 0.024777, 0.136273
1.5037, -1.500000, -1.524777, 0.024777, 0.136273
1.5357, -1.500000, -1.524777, 0.024777, 0.136273
1.5677, -1.500000, -1.524777, 0.024777, 0.136273
1.5996, -1.500000, -1.524777, 0.024777, 0.136273
1.6317, -1.500000, -1.524777, 0.024777, 0.136273
1.6637, -1.500000, -1.524777, 0.024777, 0.136273
1.6957, -1.500000, -1.524777, 0.024777, 0.136273
1.7277, -1.500000, -1.524777, 0.024777, 0.136273
1.7597, -1.500000, -1.524777, 0.024777, 0.136273
1.7917, -1.500000, -1.524777, 0.024777, 0.136273
1.8237, -1.500000, -1.524777, 0.024777, 0.136273
1.8556, -1.500000, -1.524777, 0.024777, 0.136273
1.8877, -1.500000, -1.524777, 0.024777, 0.136273
1.9197, -1.500000, -1.524777, 0.024777, 0.136273
1.9517, -1.500000, -1.524777, 0.024777, 0.136273
1.9837, -1.500000, -1.523243, 0.023243, 0.104826
2.0157, -1.500000, -1.524777, 0.024777, 0.159283
2.0477, -1.500000, -1.524777, 0.024777, 0.136273
2.0796, -1.500000, -1.524777, 0.024777, 0.136273
2.1117, -1.500000, -1.524777, 0.024777, 0.136273
2.1437, -1.500000, -1.524777, 0.024777, 0.136273
2.1756, -1.500000, -1.524777, 0.024777, 0.136273
2.2076, -1.500000, -1.524777, 0.024777, 0.136273
2.2397, -1.500000, -1.524777, 0.024777, 0.136273
2.2717, -1.500000, -1.524777, 0.024777, 0.136273
2.3036, -1.500000, -1.524777, 0.024777, 0.136273
2.3356, -1.500000, -1.524777, 0.024777, 0.136273
2.3677, -1.500000, -1.524777, 0.024777, 0.136273
2.3997, -1.500000, -1.524777, 0.024777, 0.136273
2.4316, -1.500000, -1.524777, 0.024777, 0.136273
2.4636, -1.500000, -1.524777, 0.024777, 0.136273
2.4957, -1.500000, -1.524777, 0.024777, 0.136273
2.5276, -1.500000, -1.524777, 0.024777, 0.136273
2.5595, -1.500000, -1.524777, 0.024777, 0.136273
2.5917, -1.500000, -1.524777, 0.024777, 0.136273
2.6236, -1.500000, -1.524777, 0.024777, 0.136273
2.6556, -1.500000, -1.523243, 0.023243, 0.104826
2.6876, -1.500000, -1.524777, 0.024777, 0.159283
2.7196, -1.500000, -1.524777, 0.024777, 0.136273
2.7516, -1.500000, -1.524777, 0.024777, 0.136273
2.7836, -1.500000, -1.524777, 0.024777, 0.136273
2.8156, -1.500000, -1.524777, 0.024777, 0.136273
2.8476, -1.500000, -1.524777, 0.024777, 0.136273
2.8796, -1.500000, -1.524777, 0.024777, 0.136273
2.9116, -1.500000, -1.524777, 0.024777, 0.136273
2.9436, -1.500000, -1.524777, 0.024777, 0.136273
2.9756, -1.500000, -1.524777, 0.024777, 0.136273
3.0076, -1.500000, -1.524777, 0.024777, 0.136273
3.0396, -1.500000, -1.524777, 0.024777, 0.136273
3.0716, -1.500000, -1.524777, 0.024777, 0.136273
3.1036, -1.500000, -1.524777, 0.024777, 0.136273
3.1356, -1.500000, -1.524777, 0.024777, 0.136273
3.1675, -1.500000, -1.524777, 0.024777, 0.136273
3.1996, -1.500000, -1.524777, 0.024777, 0.136273
3.2316, -1.500000, -1.524777, 0.024777, 0.136273
3.2636, -1.500000, -1.524777, 0.024777, 0.136273
3.2956, -1.500000, -1.524777, 0.024777, 0.136273
3.3276, -1.500000, -1.524777, 0.024777, 0.136273
3.3596, -1.500000, -1.524777, 0.024777, 0.136273
3.3916, -1.500000, -1.524777, 0.024777, 0.136273
3.4236, -1.500000, -1.524777, 0.024777, 0.136273
3.4556, -1.500000, -1.524777, 0.024777, 0.136273
3.4875, -1.500000, -1.524777, 0.024777, 0.136273
3.5196, -1.500000, -1.524777, 0.024777, 0.136273
3.5516, -1.500000, -1.524777, 0.024777, 0.136273
3.5836, -1.500000, -1.524777, 0.024777, 0.136273
3.6156, -1.500000, -1.524777, 0.024777, 0.136273
3.6476, -1.500000, -1.524777, 0.024777, 0.136273
3.6796, -1.500000, -1.524777, 0.024777, 0.136273
3.7116, -1.500000, -1.524777, 0.024777, 0.136273
3.7436, -1.500000, -1.524777, 0.024777, 0.136273
3.7756, -1.500000, -1.524777, 0.024777, 0.136273
3.8075, -1.500000, -1.524777, 0.024777, 0.136273
3.8396, -1.500000, -1.524777, 0.024777, 0.136273
3.8715, -1.500000, -1.524777, 0.024777, 0.136273
3.9035, -1.500000, -1.524777, 0.024777, 0.136273
3.9356, -1.500000, -1.524777, 0.024777, 0.136273
3.9675, -1.500000, -1.524777, 0.024777, 0.136273
3.9995, -1.500000, -1.524777, 0.024777, 0.136273
4.0315, -1.500000, -1.524777, 0.024777, 0.136273
4.0634, -1.500000, -1.524777, 0.024777, 0.136273
4.0955, -1.500000, -1.524777, 0.024777, 0.136273
4.1275, -1.500000, -1.524777, 0.024777, 0.136273
4.1594, -1.500000, -1.524777, 0.024777, 0.136273
4.1915, -1.500000, -1.524777, 0.024777, 0.136273
4.2235, -1.500000, -1.524777, 0.024777, 0.136273
4.2555, -1.500000, -1.524777, 0.024777, 0.136273
4.2874, -1.500000, -1.524777, 0.024777, 0.136273
4.3195, -1.500000, -1.524777, 0.024777, 0.136273
4.3515, -1.500000, -1.524777, 0.024777, 0.136273
4.3834, -1.500000, -1.524777, 0.024777, 0.136273
4.4155, -1.500000, -1.524777, 0.024777, 0.136273
4.4475, 0.600000, -1.524777, 2.124777, 5.000000
4.4795, 0.600000, -1.501767, 2.101767, 5.000000
4.5115, 0.600000, -1.371379, 1.971379, 5.000000
4.5435, 0.600000, -1.227185, 1.827185, 5.000000
4.5754, 0.600000, -1.086058, 1.686058, 5.000000
4.6075, 0.600000, -0.940330, 1.540330, 5.000000
4.6395, 0.600000, -0.794602, 1.394602, 5.000000
4.6715, 0.600000, -0.647340, 1.247340, 4.651437
4.7035, 0.600000, -0.500078, 1.100078, 3.841495
4.7355, 0.600000, -0.355884, 0.955884, 3.094447
4.7675, 0.600000, -0.210155, 0.810155, 2.269932
4.7995, 0.600000, -0.059825, 0.659825, 1.374087
4.8314, 0.600000, 0.095107, 0.504893, 0.452932
4.8635, 0.600000, 0.237767, 0.362233, -0.147622
4.8955, 0.600000, 0.389631, 0.210369, -1.120933
4.9275, 0.600000, 0.509282, 0.090718, -1.295806
4.9595, 0.600000, 0.582913, 0.017087, -1.010486
4.9915, 0.600000, 0.610524, -0.010524, -0.472059
5.0235, 0.600000, 0.605922, -0.005922, 0.036456
5.0555, 0.600000, 0.592117, 0.007883, 0.250446
5.0875, 0.600000, 0.593651, 0.006349, 0.011912
5.1195, 0.600000, 0.604388, -0.004388, -0.185204
5.1515, 0.600000, 0.613592, -0.013592, -0.212816
5.1835, 0.600000, 0.616660, -0.016660, -0.137651
5.2155, 0.600000, 0.615126, -0.015126, -0.060185
5.2475, 0.600000, 0.613592, -0.013592, -0.051748
5.2795, 0.600000, 0.613592, -0.013592, -0.074758
5.3115, 0.600000, 0.613592, -0.013592, -0.074758
5.3435, 0.600000, 0.613592, -0.013592, -0.074758
5.3755, 0.600000, 0.615126, -0.015126, -0.106204
5.4075, 0.600000, 0.615126, -0.015126, -0.083195
5.4395, 0.600000, 0.615126, -0.015126, -0.083195
5.4715, 0.600000, 0.615126, -0.015126, -0.083195
5.5035, 0.600000, 0.615126, -0.015126, -0.083195
5.5354, 0.600000, 0.616660, -0.016660, -0.114641
5.5675, 0.600000, 0.615126, -0.015126, -0.060185
5.5995, 0.600000, 0.615126, -0.015126, -0.083195
5.6315, 0.600000, 0.615126, -0.015126, -0.083195
5.6634, 0.600000, 0.615126, -0.015126, -0.083195
5.6955, 0.600000, 0.615126, -0.015126, -0.083195
5.7274, 0.600000, 0.615126, -0.015126, -0.083195
5.7595, 0.600000, 0.615126, -0.015126, -0.083195
5.7915, 0.600000, 0.615126, -0.015126, -0.083195
5.8235, 0.600000, 0.615126, -0.015126, -0.083195
5.8555, 0.600000, 0.615126, -0.015126, -0.083195
5.8875, 0.600000, 0.615126, -0.015126, -0.083195
5.9194, 0.600000, 0.615126, -0.015126, -0.083195
5.9514, 0.600000, 0.615126, -0.015126, -0.083195
5.9835, 0.600000, 0.616660, -0.016660, -0.114641
6.0154, 0.600000, 0.615126, -0.015126, -0.060185
6.0475, 0.600000, 0.615126, -0.015126, -0.083195
6.0794, 0.600000, 0.615126, -0.015126, -0.083195
6.1114, 0.600000, 0.615126, -0.015126, -0.083195
6.1434, 0.600000, 0.615126, -0.015126, -0.083195
6.1755, 0.600000, 0.615126, -0.015126, -0.083195
6.2074, 0.600000, 0.615126, -0.015126, -0.083195
6.2394, 0.600000, 0.615126, -0.015126, -0.083195
6.2714, 0.600000, 0.615126, -0.015126, -0.083195
6.3034, 0.600000, 0.615126, -0.015126, -0.083195
6.3354, 0.600000, 0.616660, -0.016660, -0.114641
6.3674, 0.600000, 0.616660, -0.016660, -0.091632
6.3994, 0.600000, 0.615126, -0.015126, -0.060185
6.4314, 0.600000, 0.615126, -0.015126, -0.083195
6.4634, 0.600000, 0.615126, -0.015126, -0.083195
6.4954, 0.600000, 0.615126, -0.015126, -0.083195
6.5274, 0.600000, 0.615126, -0.015126, -0.083195
6.5594, 0.600000, 0.615126, -0.015126, -0.083195
6.5913, 0.600000, 0.615126, -0.015126, -0.083195
6.6234, 0.600000, 0.615126, -0.015126, -0.083195
6.6554, 0.600000, 0.615126, -0.015126, -0.083195
6.6874, 0.600000, 0.615126, -0.015126, -0.083195
6.7194, 0.600000, 0.615126, -0.015126, -0.083195
6.7513, 0.600000, 0.615126, -0.015126, -0.083195
6.7834, 0.600000, 0.615126, -0.015126, -0.083195
6.8154, 0.600000, 0.615126, -0.015126, -0.083195
6.8474, 0.600000, 0.615126, -0.015126, -0.083195
6.8794, 0.600000, 0.615126, -0.015126, -0.083195
6.9114, 0.600000, 0.615126, -0.015126, -0.083195
6.9434, 0.600000, 0.615126, -0.015126, -0.083195
6.9754, 0.600000, 0.615126, -0.015126, -0.083195
7.0074, 0.600000, 0.616660, -0.016660, -0.114641
7.0394, 0.600000, 0.615126, -0.015126, -0.060185
7.0714, 0.600000, 0.615126, -0.015126, -0.083195
7.1034, 0.600000, 0.615126, -0.015126, -0.083195
7.1354, 0.600000, 0.615126, -0.015126, -0.083195
7.1673, 0.600000, 0.615126, -0.015126, -0.083195
7.1994, 0.600000, 0.616660, -0.016660, -0.114641
7.2314, 0.600000, 0.616660, -0.016660, -0.091632
7.2634, 0.600000, 0.615126, -0.015126, -0.060185
7.2954, 0.600000, 0.615126, -0.015126, -0.083195
7.3274, 0.600000, 0.615126, -0.015126, -0.083195
7.3594, 0.600000, 0.615126, -0.015126, -0.083195
7.3914, 0.600000, 0.615126, -0.015126, -0.083195
7.4233, 0.600000, 0.616660, -0.016660, -0.114641
7.4554, 0.600000, 0.615126, -0.015126, -0.060185
7.4873, 0.600000, 0.615126, -0.015126, -0.083195
7.5194, 0.600000, 0.615126, -0.015126, -0.083195
7.5514, 0.600000, 0.615126, -0.015126, -0.083195
7.5834, 0.600000, 0.615126, -0.015126, -0.083195
7.6153, 0.600000, 0.616660, -0.016660, -0.114641
7.6474, 0.600000, 0.615126, -0.015126, -0.060185
7.6793, 0.600000, 0.615126, -0.015126, -0.083195
7.7114, 0.600000, 0.615126, -0.015126, -0.083195
7.7433, 0.600000, 0.616660, -0.016660, -0.114641
7.7753, 0.600000, 0.615126, -0.015126, -0.060185
7.8073, 0.600000, 0.615126, -0.015126, -0.083195
7.8393, 0.600000, 0.615126, -0.015126, -0.083195
7.8713, 0.600000, 0.615126, -0.015126, -0.083195
7.9033, 0.600000, 0.615126, -0.015126, -0.083195
7.9354, 0.600000, 0.615126, -0.015126, -0.083195
7.9673, 0.600000, 0.615126, -0.015126, -0.083195
7.9993, 0.600000, 0.615126, -0.015126, -0.083195
8.0313, 0.600000, 0.616660, -0.016660, -0.114641
8.0633, 0.600000, 0.616660, -0.016660, -0.091632
8.0953, 0.600000, 0.616660, -0.016660, -0.091632
8.1273, 0.600000, 0.615126, -0.015126, -0.060185
8.1593, 0.600000, 0.616660, -0.016660, -0.114641
8.1913, 0.600000, 0.615126, -0.015126, -0.060185
8.2233, 0.600000, 0.615126, -0.015126, -0.083195
8.2553, 0.600000, 0.615126, -0.015126, -0.083195
8.2873, 0.600000, 0.615126, -0.015126, -0.083195
8.3192, 0.600000, 0.615126, -0.015126, -0.083195
8.3512, 0.600000, 0.615126, -0.015126, -0.083195
8.3832, 0.600000, 0.615126, -0.015126, -0.083195
8.4153, 0.600000, 0.615126, -0.015126, -0.083195
8.4472, 0.600000, 0.615126, -0.015126, -0.083195
8.4792, 0.600000, 0.615126, -0.015126, -0.083195
8.5112, 0.600000, 0.615126, -0.015126, -0.083195
8.5432, 0.600000, 0.615126, -0.015126, -0.083195
8.5752, 0.600000, 0.615126, -0.015126, -0.083195
8.6072, 0.600000, 0.616660, -0.016660, -0.114641
8.6392, 0.600000, 0.615126, -0.015126, -0.060185
8.6712, 0.600000, 0.615126, -0.015126, -0.083195
8.7032, 0.600000, 0.615126, -0.015126, -0.083195
8.7352, 0.600000, 0.615126, -0.015126, -0.083195
8.7672, 0.600000, 0.616660, -0.016660, -0.114641
8.7992, 0.600000, 0.615126, -0.015126, -0.060185
8.8312, 0.600000, 0.616660, -0.016660, -0.114641
8.8632, 0.600000, 0.615126, -0.015126, -0.060185
8.8953, 0.600000, 0.616660, -0.016660, -0.114641
8.9273, 0.600000, 0.615126, -0.015126, -0.060185
8.9593, 0.600000, 0.615126, -0.015126, -0.083195
8.9912, 0.600000, 0.615126, -0.015126, -0.083195
9.0232, 0.600000, 0.615126, -0.015126, -0.083195
9.0552, 0.600000, 0.615126, -0.015126, -0.083195
9.0872, 0.600000, 0.615126, -0.015126, -0.083195
9.1192, 0.600000, 0.615126, -0.015126, -0.083195
9.1511, 0.600000, 0.615126, -0.015126, -0.083195
9.1831, 0.600000, 0.615126, -0.015126, -0.083195
9.2151, 0.600000, 0.615126, -0.015126, -0.083195
9.2472, 0.600000, 0.616660, -0.016660, -0.114641
9.2791, 0.600000, 0.616660, -0.016660, -0.091632
9.3112, 0.600000, 0.615126, -0.015126, -0.060185
9.3431, 0.600000, 0.615126, -0.015126, -0.083195
9.3752, 0.600000, 0.615126, -0.015126, -0.083195
9.4072, 0.600000, 0.615126, -0.015126, -0.083195
