# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 1.0, Kd: 0.3
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
3.2183, 0.500000, -0.139592, 0.639592, 0.731631
3.2505, 0.500000, -0.136524, 0.636524, 0.544485
3.2825, 0.500000, -0.115049, 0.615049, -0.029223
3.3145, 0.500000, -0.085903, 0.585903, -0.288466
3.3464, 0.500000, -0.076699, 0.576699, 0.300582
3.3784, 0.500000, -0.079767, 0.579767, 0.671806
3.4104, 0.500000, -0.075165, 0.575165, 0.437107
3.4424, 0.500000, -0.044485, 0.544485, -0.375903
3.4743, 0.500000, -0.015340, 0.515340, -0.359029
3.5064, 0.500000, -0.009204, 0.509204, 0.325126
3.5384, 0.500000, -0.015340, 0.515340, 0.699418
3.5703, 0.500000, -0.012272, 0.512272, 0.420233
3.6023, 0.500000, 0.018408, 0.481592, -0.438796
3.6343, 0.500000, 0.049087, 0.450913, -0.469476
3.6663, 0.500000, 0.053689, 0.446311, 0.308252
3.6983, 0.500000, 0.046019, 0.453981, 0.684078
3.7303, 0.500000, 0.050621, 0.449379, 0.311320
3.7623, 0.500000, 0.076699, 0.423301, -0.359029
3.7943, 0.500000, 0.102777, 0.397223, -0.385107
3.8264, 0.500000, 0.108913, 0.391087, 0.207010
3.8583, 0.500000, 0.104311, 0.395689, 0.533748
3.8903, 0.500000, 0.108913, 0.391087, 0.253029
3.9223, 0.500000, 0.130388, 0.369612, -0.274660
3.9543, 0.500000, 0.153398, 0.346602, -0.343689
3.9863, 0.500000, 0.158000, 0.342000, 0.203942
4.0183, 0.500000, 0.154932, 0.345068, 0.437107
4.0503, 0.500000, 0.162602, 0.337398, 0.107301
4.0823, 0.500000, 0.181010, 0.318990, -0.233243
4.1143, 0.500000, 0.200951, 0.299049, -0.299204
4.1463, 0.500000, 0.202485, 0.297515, 0.251495
4.1783, 0.500000, 0.199418, 0.300582, 0.392621
4.2103, 0.500000, 0.207087, 0.292913, 0.062815
4.2423, 0.500000, 0.223961, 0.276039, -0.230175
4.2743, 0.500000, 0.242369, 0.257631, -0.294602
4.3063, 0.500000, 0.245437, 0.254563, 0.162524
4.3383, 0.500000, 0.240835, 0.259165, 0.397223
4.3703, 0.500000, 0.246971, 0.253029, 0.068951
4.4023, 0.500000, 0.262311, 0.237689, -0.222505
4.4343, 0.500000, 0.282252, 0.217748, -0.380505
4.4663, 0.500000, 0.286854, 0.213146, 0.075087
4.4983, 0.500000, 0.282252, 0.217748, 0.355806
4.5303, 0.500000, 0.283786, 0.216214, 0.170194
4.5623, 0.500000, 0.299126, 0.200874, -0.259320
4.5943, 0.500000, 0.319068, 0.180932, -0.417321
4.6263, 0.500000, 0.329806, 0.170194, -0.151942
4.6583, 0.500000, 0.320602, 0.179398, 0.455515
4.6903, 0.500000, 0.316000, 0.184000, 0.322058
4.7223, 0.500000, 0.329806, 0.170194, -0.243981
4.7543, 0.500000, 0.352816, 0.147184, -0.543107
4.7863, 0.500000, 0.363553, 0.136447, -0.185689
4.8183, 0.500000, 0.354350, 0.145650, 0.421767
4.8502, 0.500000, 0.348214, 0.151786, 0.335864
4.8822, 0.500000, 0.360485, 0.139515, -0.228641
4.9143, 0.500000, 0.380427, 0.119573, -0.478680
4.9463, 0.500000, 0.391165, 0.108835, -0.213301
4.9783, 0.500000, 0.381961, 0.118039, 0.394155
5.0103, 0.500000, 0.378893, 0.121107, 0.213146
5.0423, 0.500000, 0.392699, 0.107301, -0.306874
5.0742, 0.500000, 0.408039, 0.091961, -0.368233
5.1062, 0.500000, 0.417243, 0.082757, -0.193359
5.1383, 0.500000, 0.408039, 0.091961, 0.368078
5.1702, 0.500000, 0.404971, 0.095029, 0.187068
5.2022, 0.500000, 0.418777, 0.081223, -0.332952
5.2342, 0.500000, 0.435651, 0.064349, -0.441864
5.2663, 0.500000, 0.444854, 0.055146, -0.220971
5.2982, 0.500000, 0.431049, 0.068951, 0.483126
5.3303, 0.500000, 0.426447, 0.073553, 0.211612
5.3622, 0.500000, 0.446388, 0.053612, -0.544641
5.3942, 0.500000, 0.464796, 0.035204, -0.517029
5.4262, 0.500000, 0.467864, 0.032136, -0.059903
5.4582, 0.500000, 0.457126, 0.042874, 0.365010
5.4902, 0.500000, 0.460194, 0.039806, -0.052233
5.5222, 0.500000, 0.475534, 0.024466, -0.435728
5.5542, 0.500000, 0.483204, 0.016796, -0.213301
5.5862, 0.500000, 0.475534, 0.024466, 0.254563
5.6182, 0.500000, 0.469398, 0.030602, 0.214680
5.6502, 0.500000, 0.481670, 0.018330, -0.349825
5.6822, 0.500000, 0.500078, -0.000078, -0.552311
5.7142, 0.500000, 0.503146, -0.003146, -0.095185
5.7462, 0.500000, 0.492408, 0.007592, 0.329728
5.7782, 0.500000, 0.490874, 0.009126, 0.055146
5.8102, 0.500000, 0.504680, -0.004680, -0.418854
5.8422, 0.500000, 0.520019, -0.020019, -0.480214
5.8742, 0.500000, 0.518486, -0.018486, 0.027534
5.9062, 0.500000, 0.510816, -0.010816, 0.219282
5.9382, 0.500000, 0.513884, -0.013884, -0.105922
5.9702, 0.500000, 0.527689, -0.027689, -0.441864
6.0022, 0.500000, 0.530757, -0.030757, -0.122796
6.0342, 0.500000, 0.523087, -0.023087, 0.207010
6.0662, 0.500000, 0.521553, -0.021553, 0.024466
6.0982, 0.500000, 0.532291, -0.032291, -0.354427
6.1302, 0.500000, 0.535359, -0.035359, -0.127398
6.1622, 0.500000, 0.532291, -0.032291, 0.059748
6.1942, 0.500000, 0.532291, -0.032291, -0.032291
6.2262, 0.500000, 0.533825, -0.033825, -0.079845
6.2582, 0.500000, 0.533825, -0.033825, -0.033825
6.2902, 0.500000, 0.533825, -0.033825, -0.033825
6.3222, 0.500000, 0.535359, -0.035359, -0.081379
6.3542, 0.500000, 0.535359, -0.035359, -0.035359
6.3862, 0.500000, 0.533825, -0.033825, 0.012194
6.4182, 0.500000, 0.535359, -0.035359, -0.081379
6.4501, 0.500000, 0.533825, -0.033825, 0.012194
6.4821, 0.500000, 0.533825, -0.033825, -0.033825
6.5141, 0.500000, 0.535359, -0.035359, -0.081379
6.5462, 0.500000, 0.533825, -0.033825, 0.012194
6.5781, 0.500000, 0.535359, -0.035359, -0.081379
6.6101, 0.500000, 0.533825, -0.033825, 0.012194
6.6421, 0.500000, 0.533825, -0.033825, -0.033825
6.6741, 0.500000, 0.535359, -0.035359, -0.081379
6.7062, 0.500000, 0.533825, -0.033825, 0.012194
6.7382, 0.500000, 0.533825, -0.033825, -0.033825
6.7701, 0.500000, 0.533825, -0.033825, -0.033825
6.8021, 0.500000, 0.533825, -0.033825, -0.033825
6.8342, 0.500000, 0.533825, -0.033825, -0.033825
6.8661, 0.500000, 0.535359, -0.035359, -0.081379
6.8981, 0.500000, 0.533825, -0.033825, 0.012194
6.9302, 0.500000, 0.533825, -0.033825, -0.033825
6.9621, 0.500000, 0.535359, -0.035359, -0.081379
6.9942, 0.500000, 0.533825, -0.033825, 0.012194
7.0261, 0.500000, 0.535359, -0.035359, -0.081379
7.0582, 0.500000, 0.533825, -0.033825, 0.012194
7.0902, 0.500000, 0.533825, -0.033825, -0.033825
7.1221, 0.500000, 0.535359, -0.035359, -0.081379
7.1542, 0.500000, 0.533825, -0.033825, 0.012194
7.1861, 0.500000, 0.533825, -0.033825, -0.033825
7.2182, 0.500000, 0.535359, -0.035359, -0.081379
7.2501, 0.500000, 0.533825, -0.033825, 0.012194
7.2822, 0.500000, 0.533825, -0.033825, -0.033825
7.3141, 0.500000, 0.533825, -0.033825, -0.033825
7.3461, 0.500000, 0.535359, -0.035359, -0.081379
7.3781, 0.500000, 0.533825, -0.033825, 0.012194
7.4101, 0.500000, 0.533825, -0.033825, -0.033825
7.4422, 0.500000, 0.533825, -0.033825, -0.033825
7.4741, 0.500000, 0.535359, -0.035359, -0.081379
7.5062, 0.500000, 0.533825, -0.033825, 0.012194
7.5381, 0.500000, 0.533825, -0.033825, -0.033825
7.5701, 0.500000, 0.533825, -0.033825, -0.033825
7.6021, 0.500000, 0.535359, -0.035359, -0.081379
7.6341, 0.500000, 0.533825, -0.033825, 0.012194
7.6661, 0.500000, 0.533825, -0.033825, -0.033825
7.6981, 0.500000, 0.533825, -0.033825, -0.033825
7.7301, 0.500000, 0.533825, -0.033825, -0.033825
7.7621, 0.500000, 0.533825, -0.033825, -0.033825
7.7941, 0.500000, 0.533825, -0.033825, -0.033825
7.8260, 0.500000, 0.533825, -0.033825, -0.033825
